Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type,Breakdown,Major_Cause
300.8027208471124,301.10219713783005,1043.9214068017684,62.47010583378612,103.95725038581547,M,0,No Failure
301.8684111737312,302.3713583967665,2566.177973021674,52.61229304055876,119.28371356586118,H,1,Tool Wear Failure
287.3941782210211,287.5118403543643,1038.2849395306969,24.903520744806695,79.28287894759178,L,1,Tool Wear Failure
318.78338511058234,319.16418194819767,2574.4630108315587,47.498038491719385,61.599881612039944,H,0,No Failure
311.0053129344446,311.56357734386995,1952.0868412489817,49.08177722780282,144.911909267667,M,1,Overstrain Failure
317.57995766256755,317.8266097411939,2690.3218573232134,29.946472409796545,80.56012682028219,H,0,No Failure
315.79309401710594,316.2816508911587,2437.809824392598,76.74188882001694,86.23849946917504,M,0,No Failure
303.9159991524434,304.74579671081113,2796.281398960007,70.99852228883972,197.02681904236712,M,1,Random Failures
316.87496940092467,317.38228448866965,1631.2812678130783,60.1413402397465,290.56119950996765,L,0,No Failure
283.53970008207676,284.01551027508486,2380.9389200760284,47.73773366003643,181.09116016781252,H,0,No Failure
287.8393144967658,288.10649567600973,1723.475644496636,44.70593249507051,23.093840119489883,L,0,No Failure
281.80909155642155,282.3290676661555,1863.776116547036,59.05840802905725,22.675084156220095,H,1,Tool Wear Failure
293.0132132305306,293.43777446873554,2129.5098337930663,52.725912164414325,285.4269662536698,H,1,Power Failure
295.5470915875793,295.9377058654784,2572.6188055354096,23.736386352913136,89.18723709220009,L,0,No Failure
290.85396127095584,291.74722024566495,2771.350244558731,50.7501589262199,27.62009582474263,L,0,No Failure
313.1495003660772,313.8786910219877,2382.892144956133,68.38421703397037,179.71337614511447,M,0,No Failure
294.2701330677436,294.57805548182563,1751.9802079012006,47.55439265581748,187.09463348707982,L,0,No Failure
291.23738038749525,291.4618901612648,1758.4426040987264,23.117394653256106,194.55144603560643,H,0,No Failure
301.70784332632996,302.0824970000382,2327.6481428600046,67.17669196304199,80.22060835726239,L,0,No Failure
285.6369689989905,285.8365814982399,1429.7988623829442,32.08182692815846,4.53320526434251,L,0,No Failure
312.0878792301616,312.2468552578039,1198.8534036365104,35.51725009328233,289.50461083634156,H,0,No Failure
282.98202574719085,283.2924946413163,1638.3198837533978,29.882381205937754,75.26791370733075,M,0,No Failure
319.4754774640207,319.6135294275962,1517.030184977347,39.81290389228985,202.80788641576424,H,0,No Failure
310.8897907718663,311.36115665903804,1533.3546168207822,65.4050903413181,211.98896096361287,M,1,Tool Wear Failure
287.9486272613669,288.35116137645184,1420.493951889838,51.16315157023624,183.0022251238457,M,0,No Failure
280.2208846849441,280.37364881493414,1075.7677413454514,32.29287644904275,93.87221826409447,M,0,No Failure
312.6184571381934,312.8144830442425,1032.1730825201448,72.66980468912246,81.32887612921974,M,0,No Failure
308.27429375390466,309.6031996770502,2777.900301524857,72.77491129709175,179.30048481081093,M,0,No Failure
309.1602867216395,309.74134719244415,1769.9916407245523,72.23470550276042,259.82869008350747,M,1,Overstrain Failure
310.8508138674378,311.1396831287307,1691.787964887427,34.32777268289236,284.0201186770187,M,0,No Failure
282.9617860693636,283.30596531649456,2223.365108847526,47.07436065085929,31.77174132112729,L,0,No Failure
294.3386291417709,294.8223614635738,1392.8569981571154,79.0993793684525,46.44858377931595,M,0,No Failure
284.6347623810052,285.3802579883058,2709.9301311104055,66.32074857859942,283.4208776349239,L,1,Tool Wear Failure
314.5241370350237,314.6582255003358,2415.4210259479937,21.63004527353359,220.96056850043777,M,0,No Failure
304.9319250731023,305.00704758760145,1160.939804162067,23.912275475629524,264.8981474489319,L,1,Random Failures
293.235920994106,293.73622828599116,1751.645396412871,47.835882608739965,60.78979024060295,M,0,No Failure
282.54233401144097,283.178206556421,2582.4129536118962,74.55321235169362,176.27576133282057,M,0,No Failure
292.43929286862647,292.87766502364616,2700.5176401245385,52.32210787716285,210.3418783252421,L,1,Other
293.0073328810699,293.41927687512396,1841.3227202497656,49.868750482057415,204.0335656340918,L,0,No Failure
309.18424713352255,309.498028117851,2104.140500579274,26.328421997397836,122.44550726000944,L,0,No Failure
305.5022988542085,305.69614060536304,1300.6611029657354,59.40680628345764,4.618467507392543,M,0,No Failure
315.48850970305307,316.4163493667291,2784.1035270465577,69.32618963601354,174.87781704127894,H,1,Random Failures
298.888597006478,299.0563469126389,1417.0090624901982,42.825200450453735,75.93046175388262,L,0,No Failure
284.7837698375321,285.2135230376492,2696.917193443226,66.53671105551965,135.0762738428671,M,0,No Failure
308.5297914889198,308.94663281222887,2169.3639681862633,77.8685992340487,287.27430452514517,M,0,No Failure
310.4314019446759,310.8333119770149,2093.9262307819463,32.22598754766135,119.71059529273042,M,0,No Failure
302.4510879027799,302.7237503673521,1922.8393198297154,51.39977787168448,251.94048199932803,H,1,Overstrain Failure
310.83868719818247,310.96690891410816,1415.2056610919656,37.22827748507453,56.56218172477534,M,0,No Failure
299.7518238545756,300.12464770833344,1317.750457609915,67.57126514203037,201.73814940750864,M,1,Tool Wear Failure
300.90931317527975,301.36739327197955,1396.8751763263156,54.65560195286945,293.10208633168304,L,0,No Failure
297.10164073434197,297.36563910121885,1335.5888718596582,58.074945053018226,30.56793026188104,L,0,No Failure
281.01676506976384,281.68797089403347,2403.252052420156,67.87484957695364,2.4959826681576036,L,0,No Failure
284.3156570797322,284.48760258888524,1630.2254665001142,43.75822835974729,130.0748377897843,L,0,No Failure
281.25716742746937,281.60758211379726,1104.1168178141133,74.90540410442259,27.78764491541016,M,0,No Failure
305.4564164505512,306.1427110432663,2744.3847342534605,51.9817320347684,224.51530490286942,M,0,No Failure
292.57423924305306,292.9393525320316,2590.8145929341663,29.47728937012088,274.36459915456766,M,1,Power Failure
300.3428276465881,300.95555391225275,2669.9541097513834,61.75394709012815,130.20629181262765,L,1,Other
316.3026589570437,316.9894847287096,2790.834080763583,67.59568102629527,77.61349264663228,L,0,No Failure
289.971689165955,290.1103864296956,1313.0114485950771,39.0057006240516,130.32099570198292,M,0,No Failure
296.4153169214252,296.8888740567997,1713.2356340247857,71.43075541992518,217.0343453550003,H,1,Tool Wear Failure
310.22204554172197,310.69272654990385,2364.829256267364,74.36859528594599,2.7162484741112936,L,0,No Failure
289.1519266196649,289.61833918031635,2252.837112496826,36.614269242668534,176.83619684540915,H,0,No Failure
283.07919639315173,283.73966402731213,1277.0126314117392,79.01128836291332,183.98750546621372,M,1,Tool Wear Failure
291.5900581165507,292.05083965707223,2468.499624983112,28.442691682925506,191.30647406878066,M,1,Overstrain Failure
286.44885149016017,286.7236791582442,1403.9930293059892,32.1209401041494,72.60662399426316,M,0,No Failure
317.1879060937029,317.4019908194021,1402.8717066807217,31.053490354281568,214.21581701343803,L,1,Tool Wear Failure
312.3248151825767,313.10117388847186,1966.5539612081443,73.63938260047223,27.41744589953292,L,0,No Failure
305.33615026041696,305.7655690031511,2067.2918827150656,59.25755313949771,59.78110094004025,M,0,No Failure
314.8584236075087,315.1589793004859,2044.15517410806,29.126256993336373,263.2410139963446,M,1,Tool Wear Failure
312.1468830759646,312.37753413458773,1164.6763073159589,46.41940510210094,221.6169452179699,H,1,Tool Wear Failure
287.46280235544145,288.10644311169364,2579.429552734685,56.917881504188124,4.123666203403575,M,1,Overstrain Failure
315.7023599395991,315.90991327285974,1478.0800766596708,25.007845099362996,74.51287811094006,L,0,No Failure
301.57368967662603,301.88768022056547,1233.1268583090475,72.94498210444033,64.32194489794936,M,0,No Failure
312.2976062065625,312.94526300033385,2599.746543764159,68.21621212649211,81.24189841109177,L,0,No Failure
315.84365199693974,316.71407273304106,2720.1726968135563,50.31240641459829,74.26793108396592,M,0,No Failure
292.7201389988746,293.2145656325525,2551.829711077811,78.02759691555022,18.75788872285372,M,0,No Failure
284.4020769811071,284.8893153261465,2457.128934504781,45.06565875650598,137.6821549790461,H,1,Random Failures
289.1174065016777,290.203982849659,2179.435565150239,79.04661914218987,219.82004243584953,M,0,No Failure
297.08431154505024,297.67737605684295,1991.5432670964508,60.07519992821762,182.01951741523092,M,0,No Failure
312.7205906368997,313.03439253213065,1156.5761678405383,58.08027639523649,201.86150057942393,M,0,No Failure
314.42922333025376,314.6032120735503,1735.2157835272578,29.9572937177471,24.344753560871744,H,0,No Failure
280.27808522124764,280.73673056889635,1670.839330622165,72.91566549827864,285.44721305303614,L,1,Tool Wear Failure
300.42989210310265,300.8342575548027,1467.5568107685872,45.649381275236905,251.54755015290746,L,0,No Failure
296.69644012595114,297.02012736369875,2302.156204639453,29.734004346948762,241.5270955486988,L,0,No Failure
288.8843124188292,289.0622690624283,1892.5763231417875,20.75645119854554,246.89514151253024,L,1,Tool Wear Failure
284.7946146933473,284.95897057817444,1145.8831886337662,53.585341018302955,279.8131524398284,M,0,No Failure
293.50460685614513,293.67073111554424,1396.3297635096603,51.64397732736058,163.27618983410932,M,0,No Failure
317.7163881565008,318.63668699387176,2229.8657745872724,63.16121734214951,60.08460536028777,M,0,No Failure
292.92811728083024,293.2549356274871,1137.0355470825402,73.41548318106813,185.03508235576234,L,0,No Failure
300.75162486973466,301.0604640417042,2532.1724452877834,24.76439507858177,222.8644481003817,M,1,Tool Wear Failure
308.1207583558071,308.4334743751257,1891.2637486251538,63.88978942042174,221.37521800620763,M,1,Overstrain Failure
294.54518409517175,294.85296885345844,1865.0558391879663,31.244716645854933,156.43470725006404,M,0,No Failure
318.87128330883843,319.81603231404284,2066.3340123871317,71.49062318942984,20.537615800073418,M,1,Overstrain Failure
318.4978917976845,319.3228053779471,2484.4257386652685,69.14381083169937,111.33388152903835,M,0,No Failure
290.0712918330146,290.30967072373664,1626.0565742239473,52.44762529913266,276.2299825390072,L,0,No Failure
299.8899402356954,300.5613377790356,2220.4290746063143,62.61456791739869,175.3346729272278,L,0,No Failure
292.0351323926708,292.4785452908229,2018.3175351924237,38.861006791024906,161.49958297671404,H,1,Tool Wear Failure
291.3936197750987,291.6828278647639,1480.6508863049585,48.27007393596888,80.65605431465805,H,0,No Failure
281.4754778941813,282.57747356769954,2581.5339754392844,69.2982138626283,110.53467597497367,M,0,No Failure
304.3825733591959,304.97648393540754,2435.3668388924707,47.55591183039283,268.60382674595076,L,0,No Failure
300.1071609291545,300.67320832527287,2185.2133023851657,41.46789591952651,199.93891425805072,M,0,No Failure
282.0591500499996,282.68948388484654,2531.047112369635,49.65274683501799,236.21610802569987,M,0,No Failure
291.14585856946445,291.6489099999865,2561.129561727644,69.6949551462331,136.30362692029655,M,1,Overstrain Failure
316.33063543866615,316.6605054278678,2275.0533580870624,40.11248284225236,189.07416583684738,L,0,No Failure
289.5824756266789,289.82141731453555,2506.6239910546096,30.425695588144627,74.51508262296225,L,0,No Failure
285.7957948836489,286.6855168394798,2255.4486310047105,62.72084121984685,211.63824908504589,M,0,No Failure
299.5781104111025,300.44866512587396,2224.2533891685407,69.55869276248491,128.2804001110012,M,0,No Failure
319.426018164424,319.7150332535088,2113.500480787332,26.038248711412,132.76365444442368,L,0,No Failure
289.68221086046003,289.97181177326314,2354.889951203754,34.39244676535668,194.7966973730645,L,0,No Failure
306.88542189623513,306.9973731255843,1285.4891895275327,28.518319385659634,280.884186440678,M,1,Tool Wear Failure
310.4647846131487,311.05761023606567,2585.567366558071,40.87648469493,19.201903982586277,H,1,Other
289.50550175969596,290.0309037106477,2569.3183499414176,47.021058734324754,247.42297120410228,H,1,Tool Wear Failure
309.12865394447437,309.3501098499939,1052.6451094622064,64.92958021779839,87.71493312365793,M,0,No Failure
294.71132530877014,295.4434751232037,2486.470151016573,59.06885509290045,133.17583635191335,M,0,No Failure
305.29223322374315,305.46238309788043,1231.9657614522014,57.25571404870587,6.573998632502686,L,0,No Failure
305.3411884304358,305.58446689145313,1603.2139376664554,41.142496796579266,90.31382335029392,M,0,No Failure
301.4309873629903,302.14365703187786,2338.314861324894,70.4868531850856,150.78937278903913,M,0,No Failure
283.61159080217635,283.79165121039017,1289.3678128869547,48.27723004388987,16.852823204231704,M,0,No Failure
313.4120998235695,314.70247446301545,2472.3406434143117,78.74629628090926,147.32871881494955,M,0,No Failure
292.8312025988694,293.2902039319901,2497.8415203239356,58.04852829774421,278.1331886575282,L,0,No Failure
287.46074041599417,287.6092247485498,1913.441920769505,27.575884493870163,31.617965432341567,L,1,Random Failures
281.63100566219055,281.8234315185389,1011.4945690903005,60.57065372452604,229.3322184226513,M,0,No Failure
303.63571772752965,303.9751795511136,1516.668639714843,39.506240925901935,122.90131601279779,L,0,No Failure
307.1025744736913,307.63605280504913,2110.468453076336,61.17963180116585,196.5521143573014,L,0,No Failure
280.66351315711427,280.981620253818,2766.135120449362,24.178468889744344,78.07097939556881,H,1,Power Failure
300.48372233197125,300.63530659365927,2137.264348630003,30.492886230557563,47.84767876240748,M,0,No Failure
289.0598310079175,289.3096492857427,1467.6464459154877,71.34423553434718,48.13878428136793,M,1,Tool Wear Failure
305.806911616378,306.1109715491525,2141.2102655793005,33.63077342141089,21.147583692943396,H,0,No Failure
286.9746571601997,287.78861377204555,1971.9736834885398,70.22246751457641,55.69401147037291,H,0,No Failure
307.6375095240986,308.1838907424835,2403.721711272058,36.75656530726462,199.2658154966905,M,0,No Failure
295.4694138520215,295.6523720526824,1192.5651498885252,58.572914603522456,264.5071835530524,H,0,No Failure
317.4691995494694,318.14644860326274,2369.8502245036507,61.64903441058986,244.23770567734854,M,0,No Failure
285.5008377658397,286.1330879172983,1974.2798416169985,50.759285188703174,205.54029296234523,M,0,No Failure
293.64265404201035,294.0578590843605,2733.3856069461904,38.31864060180388,33.1295590233308,M,0,No Failure
284.53894084962354,284.8530350923547,1615.369898869635,32.75866258226577,86.75623388878495,M,0,No Failure
316.9877447311425,317.1208020089987,2138.719407641107,21.991361273745575,92.9420625967407,M,0,No Failure
315.09357413523924,315.7496567347574,2677.6505899180315,38.23678407444343,74.98708391928636,M,1,Overstrain Failure
290.3176651086062,290.7093567854516,1184.5175103832225,59.18976743187698,154.50169791291694,L,0,No Failure
306.3993618413672,307.7185326126381,2687.011277025612,76.29828910690895,160.66614446390176,M,1,Random Failures
312.68888800804865,313.53857048419184,2238.194300141464,72.27226893578313,107.06579255133306,L,1,Overstrain Failure
302.2080324639785,302.4933355032564,1122.1067063893095,65.96388659211816,106.1367476209308,M,0,No Failure
301.18602313424026,301.85226873488335,1541.734420504269,67.30684059519791,248.5666793718244,M,0,No Failure
289.6740916360181,290.14584762707443,2274.709759561507,59.89909420855972,236.7878544959057,M,0,No Failure
283.724110712236,283.8724719324295,1121.231082643789,35.61721145396018,92.3387495042237,M,0,No Failure
315.8886303181331,316.7057653852626,2047.906828317292,74.43170184234978,274.1365331619778,H,1,Other
316.0167222865332,316.56889266410445,1622.5895025153222,60.243938714350044,285.8445051007518,M,1,Tool Wear Failure
305.32405829093074,306.0487270287172,2117.647931981459,53.6264378588264,98.02276260901225,M,1,Overstrain Failure
293.561191641948,293.65198021316496,1082.3356608625231,26.659368152808867,106.32748463791646,M,0,No Failure
293.96838298450643,294.66535112241127,2568.7662510742775,46.82333262838553,151.69024602658766,L,0,No Failure
309.0382271548096,309.762929748028,2752.2801445193145,47.62149627211558,282.33624376010204,L,1,Tool Wear Failure
315.8844103981031,316.38080212017115,2743.980139514245,71.87381657136021,262.89582994269347,L,0,No Failure
315.4834569706047,315.9747738554962,2349.3732971372647,52.798893211267306,30.77038877507694,M,0,No Failure
311.19502183430495,311.3797108161457,1234.1552322351376,42.824032938224576,117.81922298142487,M,0,No Failure
305.6812658461715,306.3489140387978,2364.8737526722407,78.60801971063955,166.01135692493156,H,1,Random Failures
283.36559859980196,283.5497910001747,1044.2564496258428,26.64323559957894,150.939741765462,L,0,No Failure
286.46514856378457,286.70573875236227,1039.8223927521951,45.352905698716675,58.1589203810678,L,1,Tool Wear Failure
315.94216754108317,316.1359096393715,1582.4983944691744,22.521480510284317,257.6450313504464,H,1,Random Failures
304.2571623863836,305.05501519160333,1879.5577427283984,64.39424724601582,203.0822348990512,L,0,No Failure
280.3678820646652,281.0696705219701,2386.733352054028,75.08459313194903,251.37251245554108,M,0,No Failure
284.0588617146413,284.5358145741122,2229.931677891709,36.80223977302937,257.62928380484163,M,0,No Failure
306.54007076432225,307.0777956281539,1802.624871478147,71.50050060794726,224.50675609972194,M,1,Random Failures
280.20246335384877,280.5449641202859,1492.5279993069985,37.53309382771387,131.7631803749152,L,0,No Failure
286.43232205669995,287.06625435957136,2794.8241002838804,74.64620969863492,183.16402650462737,L,0,No Failure
301.94935157466347,302.69441414540483,1767.1263440247512,65.23771421580705,48.109621835922944,L,0,No Failure
307.67580790770774,308.0730043072946,1812.4966437934158,68.29440661048632,202.0936252424723,M,0,No Failure
306.078450380104,306.17910562085035,1294.5228781450046,21.08039333602727,53.775976721784225,M,0,No Failure
288.9707723784224,290.03084641527096,2430.6571877498727,77.76862142444156,208.18487715304704,L,1,Other
308.48716885390144,309.0577889178983,2248.6280064066796,63.600259524219396,68.8794482261906,M,0,No Failure
289.489963499872,289.75464290760334,1397.3853030197688,38.285065723168,35.26539004506599,H,1,Overstrain Failure
293.0159879263707,293.35379376017295,1148.285882108517,69.76367989153081,49.58534704288723,L,0,No Failure
309.859656204721,310.3148924104472,2224.8987437344836,36.891271904895795,0.5976405657210804,M,0,No Failure
305.9853159618886,306.4978146007345,2178.1201857060432,72.36523037396768,215.62188535605907,M,1,Overstrain Failure
313.96893641976715,314.0684482532821,1491.8671485967768,26.75482342471622,219.72031471751373,L,0,No Failure
306.30451569201375,306.9070198617601,2711.5544120507384,62.22115864764775,154.48000497397783,M,1,Random Failures
302.73234413341885,303.02246665203967,1271.9042052056204,52.44190859869462,48.40884031661511,M,0,No Failure
283.7469907131237,283.8837663987712,1778.2026418766834,25.79206821172645,25.066301253206923,H,0,No Failure
294.70863212237737,295.06404206151905,2698.508656301678,34.51362969553034,5.738689931186103,H,0,No Failure
290.608094707269,290.754409074323,1755.50917046702,20.74424217663889,49.72445308956621,M,0,No Failure
289.75958573516334,290.01698039782315,2149.346705795354,48.12607792787035,267.256660494944,M,1,Tool Wear Failure
318.92042219009784,319.23634990243465,1715.6699163330297,38.07591564560002,72.46105251050453,M,0,No Failure
295.72390898667044,296.2399087725669,1493.587364227606,55.90144905786553,106.2813981651647,M,1,Overstrain Failure
315.6818622070845,315.98691514022323,2771.1597663276907,37.83426846251703,31.603645344399954,M,1,Power Failure
305.24554503989054,305.5689574025929,1736.8012113670775,37.99514669041908,66.70839142445108,L,0,No Failure
311.79245214166593,312.668834758588,2609.378566622442,64.5915919238962,155.76737123406153,M,0,No Failure
300.10548372420766,300.23830529163416,1413.918290603955,22.888570158701206,182.32580492869576,M,1,Overstrain Failure
303.07615538505434,303.6264397219146,1383.58846724515,74.17369971151923,73.60569424986332,M,0,No Failure
299.70070775275457,300.00613775960704,1056.0413491921204,71.13583246347089,17.319647767535162,H,0,No Failure
287.8097195119218,288.3951377686226,2173.000285676593,60.06828099358439,117.3098607382196,L,0,No Failure
308.8980846104602,309.1075284690065,1663.34741870277,55.593294206443055,70.26101127790024,M,0,No Failure
291.2308944976342,292.2308333370521,2555.844849711347,73.53814988837914,65.86617696894058,L,1,Tool Wear Failure
280.97263865725813,281.27140948925535,1851.7778320448028,31.119810771722868,287.9588408140366,M,1,Tool Wear Failure
305.8188918362867,305.9819756610869,2742.7481702464993,24.738149731449717,184.8901457777172,M,1,Tool Wear Failure
287.08442717628196,287.2621414436483,1333.945928265618,34.370610194572286,167.06353295162876,M,0,No Failure
317.6183433741166,318.7638373826253,2563.5217023200994,67.67469672201142,124.73253105699658,M,1,Overstrain Failure
318.1571430801035,318.3747722512654,2397.874335025135,22.080216003589,128.68330002904327,M,0,No Failure
316.59457560881793,317.18163437237524,2387.659320359294,54.968410105009376,162.27150115142425,M,0,No Failure
294.8063480102178,296.0712490409318,2520.6098106103977,79.7262509714786,208.92894211083217,M,1,Overstrain Failure
280.6182646611547,281.53701912980017,2369.8431836973978,71.34176563025237,210.64382885454884,M,0,No Failure
317.132742503509,317.6597540403058,2127.1965789365477,51.28674134261537,51.50817231163487,H,0,No Failure
297.12736593269256,297.29796551471037,1236.2407798282977,23.818454557198542,150.0338256229881,L,0,No Failure
318.6661927617468,319.1167614733289,1058.5471230842534,69.88241086314258,123.5874285102306,L,0,No Failure
318.5447990835701,319.1798420583605,2657.5261260682364,55.93871049063263,261.1580898808153,M,0,No Failure
314.1203782186944,314.3674189879397,2109.970566137328,26.89597982357401,189.4256763655129,H,0,No Failure
291.77795568278344,292.0247087995688,2433.7671237571176,25.631437089401373,159.75121992479455,M,0,No Failure
295.40390914407703,296.3154737117067,1866.74023272259,74.57760916619554,34.618392653675215,L,0,No Failure
314.04546686067425,314.4348312840502,1211.15474013231,60.152015776284706,181.69136679702345,M,0,No Failure
292.6768802062511,292.8994316409263,1225.3344259645908,69.75720795900534,35.16117170407003,M,0,No Failure
286.77970986744367,287.7684616608658,2234.0175170121483,72.73873401693604,101.16197266972561,L,0,No Failure
302.272050498334,302.6939073060557,1774.550610819033,54.30634112289933,42.85258944429956,M,0,No Failure
317.44619096643123,317.6225855125854,1360.944508060606,51.04678110530247,207.62209410731066,H,1,Power Failure
307.84119186699894,308.24596748564306,1884.8701841345865,45.82564461925941,61.875634150845784,M,0,No Failure
302.8024468035746,302.98066412191275,1115.5760867352415,39.01679526746716,117.5578119564078,M,0,No Failure
283.88705975083076,284.4673281255646,2047.548523445918,46.07575765152271,268.7024332856336,M,0,No Failure
304.6002890679668,304.91016845448473,1484.188127983176,66.43277934380939,61.29491501969109,L,0,No Failure
319.60215400417053,320.41150491645095,2435.6063811469385,56.11540586090789,152.34151918763374,H,1,Overstrain Failure
285.60336060946094,286.144675283195,1558.6515260624328,73.55139739729077,125.7814983498066,M,0,No Failure
300.73318609454947,300.9431183798853,1819.3962683472423,46.602800862751266,5.43721231371892,M,1,Tool Wear Failure
315.0949228771182,315.47343432844167,1020.9169718345811,56.425374723125245,237.82743407184384,M,1,Tool Wear Failure
309.6307447101682,309.9265099946543,1130.404398030206,57.87845318551932,20.713771894379917,M,0,No Failure
307.8806296398107,308.215033659356,1706.4884015320326,55.501829738379534,142.27650629308607,M,1,Overstrain Failure
308.09936335948436,308.60075320528256,1863.8899024908224,62.15802638513098,168.20348848168499,L,0,No Failure
294.3796460487902,294.81145066453814,2080.0369866147466,34.246008102488375,188.5279369843761,H,0,No Failure
291.74367377057973,292.02172795832274,1524.9926416767457,50.741826652747434,206.5894887923627,H,1,Tool Wear Failure
312.37444621914057,312.5571883097613,2250.9673950277765,26.25348816850086,75.98171505681452,M,0,No Failure
312.4045357871672,312.71276267101626,2548.220314940568,43.07067965868875,2.993632997534812,H,1,Random Failures
314.68289274320415,315.104646512193,2403.7317800080295,49.26002411727586,217.0330987064736,L,0,No Failure
316.5296221022588,316.89163851375287,1071.313885627043,59.13345557272835,160.69697980427358,M,0,No Failure
